-0.247808,0.000621,0.787514,-0.002955,0.030858,0.015852,0.999394,-0.164673,0.049036,0.120135,0.267094,-0.145441,0.002679,-0.158888,-0.135284,-0.123559,0.260409,-0.114357,0.063267,-0.020992,-0.010178,0.008860,0.301806,0.206165,-0.103268,0.869930,0.184551,0.000078,-0.000029,0.219142,-0.189917,0.023145,0.905828,-0.177233,0.000081,-0.000003
-0.247712,0.000611,0.787517,-0.002943,0.030903,0.015877,0.999392,-0.164601,0.049016,0.120098,0.267015,-0.145513,0.002617,-0.158812,-0.135303,-0.123611,0.260337,-0.114463,0.063283,-0.020986,-0.010034,0.008893,0.302091,0.206743,-0.103508,0.869611,0.184493,0.000078,-0.000029,0.218997,-0.190993,0.023780,0.905437,-0.176979,0.000081,-0.000003
-0.247600,0.000602,0.787520,-0.002955,0.030925,0.015903,0.999391,-0.164441,0.049042,0.120061,0.266876,-0.145569,0.002533,-0.158643,-0.135289,-0.123703,0.260276,-0.114564,0.063300,-0.020976,-0.009923,0.008858,0.302479,0.207455,-0.103794,0.869346,0.184596,0.000078,-0.000028,0.218836,-0.192034,0.024432,0.905130,-0.176783,0.000081,-0.000003
-0.247480,0.000593,0.787522,-0.002972,0.030967,0.015929,0.999389,-0.164290,0.049078,0.120028,0.266691,-0.145613,0.002441,-0.158486,-0.135266,-0.123813,0.260187,-0.114662,0.063320,-0.020963,-0.009842,0.008789,0.302940,0.208236,-0.104125,0.869104,0.184767,0.000078,-0.000028,0.218694,-0.192985,0.025067,0.904871,-0.176611,0.000081,-0.000003
-0.247360,0.000586,0.787524,-0.002983,0.031058,0.015953,0.999386,-0.164215,0.049099,0.120004,0.266486,-0.145647,0.002356,-0.158416,-0.135245,-0.123918,0.260032,-0.114752,0.063345,-0.020952,-0.009777,0.008747,0.303464,0.209020,-0.104543,0.868881,0.184929,0.000078,-0.000029,0.218622,-0.193766,0.025688,0.904632,-0.176440,0.000081,-0.000003
-0.247238,0.000580,0.787526,-0.002990,0.031159,0.015976,0.999382,-0.164154,0.049109,0.119984,0.266269,-0.145681,0.002273,-0.158360,-0.135230,-0.124021,0.259854,-0.114834,0.063374,-0.020943,-0.009726,0.008720,0.304032,0.209857,-0.105001,0.868633,0.185091,0.000078,-0.000029,0.218568,-0.194430,0.026272,0.904419,-0.176276,0.000081,-0.000003
-0.247112,0.000573,0.787528,-0.002991,0.031255,0.015997,0.999379,-0.164082,0.049106,0.119959,0.266033,-0.145728,0.002185,-0.158286,-0.135222,-0.124122,0.259679,-0.114891,0.063402,-0.020936,-0.009685,0.008691,0.304618,0.210785,-0.105468,0.868311,0.185250,0.000078,-0.000029,0.218484,-0.194993,0.026805,0.904228,-0.176102,0.000081,-0.000003
-0.246984,0.000567,0.787530,-0.002988,0.031346,0.016020,0.999376,-0.164005,0.049098,0.119933,0.265822,-0.145785,0.002101,-0.158207,-0.135223,-0.124222,0.259527,-0.114960,0.063427,-0.020933,-0.009652,0.008661,0.305214,0.211733,-0.105920,0.867960,0.185371,0.000078,-0.000029,0.218414,-0.195499,0.027281,0.904067,-0.175953,0.000081,-0.000003
-0.246850,0.000561,0.787532,-0.002983,0.031422,0.016045,0.999373,-0.163919,0.049097,0.119913,0.265709,-0.145858,0.002033,-0.158126,-0.135238,-0.124313,0.259448,-0.115096,0.063438,-0.020938,-0.009626,0.008629,0.305805,0.212649,-0.106333,0.867609,0.185429,0.000078,-0.000029,0.218391,-0.196000,0.027703,0.903969,-0.175885,0.000081,-0.000003
-0.246713,0.000555,0.787534,-0.002977,0.031497,0.016072,0.999370,-0.163834,0.049093,0.119889,0.265619,-0.145945,0.001965,-0.158044,-0.135258,-0.124399,0.259399,-0.115266,0.063446,-0.020955,-0.009605,0.008597,0.306368,0.213526,-0.106674,0.867244,0.185416,0.000078,-0.000029,0.218408,-0.196438,0.028069,0.903842,-0.175812,0.000081,-0.000003
-0.246571,0.000550,0.787536,-0.002972,0.031585,0.016101,0.999367,-0.163758,0.049075,0.119850,0.265474,-0.146032,0.001872,-0.157954,-0.135277,-0.124490,0.259317,-0.115437,0.063461,-0.020985,-0.009591,0.008568,0.306879,0.214322,-0.106887,0.866845,0.185298,0.000078,-0.000029,0.218471,-0.196782,0.028354,0.903595,-0.175647,0.000081,-0.000003
-0.246426,0.000545,0.787537,-0.002966,0.031676,0.016136,0.999364,-0.163682,0.049041,0.119787,0.265306,-0.146116,0.001776,-0.157856,-0.135307,-0.124583,0.259243,-0.115608,0.063479,-0.021035,-0.009580,0.008540,0.307326,0.215065,-0.107026,0.866452,0.185119,0.000078,-0.000029,0.218565,-0.197057,0.028617,0.903282,-0.175436,0.000081,-0.000003
-0.246277,0.000541,0.787538,-0.002960,0.031771,0.016183,0.999360,-0.163609,0.048975,0.119669,0.265118,-0.146192,0.001696,-0.157750,-0.135359,-0.124695,0.259205,-0.115778,0.063494,-0.021113,-0.009568,0.008514,0.307681,0.215747,-0.107118,0.866093,0.184890,0.000078,-0.000029,0.218663,-0.197280,0.028900,0.902925,-0.175191,0.000081,-0.000003
-0.246130,0.000538,0.787539,-0.002955,0.031862,0.016237,0.999356,-0.163536,0.048904,0.119531,0.264964,-0.146280,0.001629,-0.157645,-0.135414,-0.124805,0.259180,-0.115961,0.063513,-0.021220,-0.009555,0.008488,0.307973,0.216371,-0.107189,0.865805,0.184656,0.000078,-0.000029,0.218768,-0.197478,0.029232,0.902547,-0.174945,0.000081,-0.000003
